active,code,geometry.coordinates.latitude,geometry.coordinates.longitude,geometry.country_code,geometry.location,geometry.state_code,geometry.viewport.northeast.latitude,geometry.viewport.northeast.longitude,geometry.viewport.southwest.latitude,geometry.viewport.southwest.longitude,name
true,CHL_CIUDADARICA,,,CHL,,CHL_REGIONDEARICAYPARINACOTA,,,,,Arica
true,CHL_CIUDADPARINACOTA,,,CHL,,CHL_REGIONDEARICAYPARINACOTA,,,,,Parinacota
true,CHL_CIUDADIQUIQUE,,,CHL,,CHL_REGIONDETARAPACA,,,,,Iquique
true,CHL_CIUDADTAMARUGAL,,,CHL,,CHL_REGIONDETARAPACA,,,,,Tamarugal
true,CHL_CIUDADANTOFAGASTA,,,CHL,,CHL_REGIONDEANTOFAGASTA,,,,,Antofagasta
true,CHL_CIUDADELLOA,,,CHL,,CHL_REGIONDEANTOFAGASTA,,,,,El Loa
true,CHL_CIUDADTOCOPILLA,,,CHL,,CHL_REGIONDEANTOFAGASTA,,,,,Tocopilla
true,CHL_CIUDADCOPIAPO,,,CHL,,CHL_REGIONDEATACAMA,,,,,Copiapó
true,CHL_CIUDADCHANARAL,,,CHL,,CHL_REGIONDEATACAMA,,,,,Chañaral
true,CHL_CIUDADHUASCO,,,CHL,,CHL_REGIONDEATACAMA,,,,,Huasco
true,CHL_CIUDADELQUI,,,CHL,,CHL_REGIONDECOQUIMBO,,,,,Elqui
true,CHL_CIUDADCHOAPA,,,CHL,,CHL_REGIONDECOQUIMBO,,,,,Choapa
true,CHL_CIUDADLIMARI,,,CHL,,CHL_REGIONDECOQUIMBO,,,,,Limarí
true,CHL_CIUDADVALPARAISO,,,CHL,,CHL_REGIONDEVALPARAISO,,,,,Valparaíso
true,CHL_CIUDADISLADEPASCUA,,,CHL,,CHL_REGIONDEVALPARAISO,,,,,Isla de Pascua
true,CHL_CIUDADLOSANDES,,,CHL,,CHL_REGIONDEVALPARAISO,,,,,Los Andes
true,CHL_CIUDADPETORCA,,,CHL,,CHL_REGIONDEVALPARAISO,,,,,Petorca
true,CHL_CIUDADQUILLOTA,,,CHL,,CHL_REGIONDEVALPARAISO,,,,,Quillota
true,CHL_CIUDADSANANTONIO,,,CHL,,CHL_REGIONDEVALPARAISO,,,,,San Antonio
true,CHL_CIUDADSANFELIPEDEACONCAGUA,,,CHL,,CHL_REGIONDEVALPARAISO,,,,,San Felipe de Aconcagua
true,CHL_CIUDADMARGAMARGA,,,CHL,,CHL_REGIONDEVALPARAISO,,,,,Marga Marga
true,CHL_CIUDADCACHAPOAL,,,CHL,,CHL_REGIONDELLIBERTADORGENERALBERNARDOOHIGGINS,,,,,Cachapoal
true,CHL_CIUDADCARDENALCARO,,,CHL,,CHL_REGIONDELLIBERTADORGENERALBERNARDOOHIGGINS,,,,,Cardenal Caro
true,CHL_CIUDADCOLCHAGUA,,,CHL,,CHL_REGIONDELLIBERTADORGENERALBERNARDOOHIGGINS,,,,,Colchagua
true,CHL_CIUDADTALCA,,,CHL,,CHL_REGIONDELMAULE,,,,,Talca
true,CHL_CIUDADCAUQUENES,,,CHL,,CHL_REGIONDELMAULE,,,,,Cauquenes
true,CHL_CIUDADCURICO,,,CHL,,CHL_REGIONDELMAULE,,,,,Curicó
true,CHL_CIUDADLINARES,,,CHL,,CHL_REGIONDELMAULE,,,,,Linares
true,CHL_CIUDADCONCEPCION,,,CHL,,CHL_REGIONDELBIOBIO,,,,,Concepción
true,CHL_CIUDADARAUCO,,,CHL,,CHL_REGIONDELBIOBIO,,,,,Arauco
true,CHL_CIUDADBIOBIO,,,CHL,,CHL_REGIONDELBIOBIO,,,,,Biobío
true,CHL_CIUDADNUBLE,,,CHL,,CHL_REGIONDELBIOBIO,,,,,Ñuble
true,CHL_CIUDADCAUTIN,,,CHL,,CHL_REGIONDELAARAUCANIA,,,,,Cautín
true,CHL_CIUDADMALLECO,,,CHL,,CHL_REGIONDELAARAUCANIA,,,,,Malleco
true,CHL_CIUDADVALDIVIA,,,CHL,,CHL_REGIONDELOSRIOS,,,,,Valdivia
true,CHL_CIUDADRANCO,,,CHL,,CHL_REGIONDELOSRIOS,,,,,Ranco
true,CHL_CIUDADLLANQUIHUE,,,CHL,,CHL_REGIONDELOSLAGOS,,,,,Llanquihue
true,CHL_CIUDADCHILOE,,,CHL,,CHL_REGIONDELOSLAGOS,,,,,Chiloé
true,CHL_CIUDADOSORNO,,,CHL,,CHL_REGIONDELOSLAGOS,,,,,Osorno
true,CHL_CIUDADPALENA,,,CHL,,CHL_REGIONDELOSLAGOS,,,,,Palena
true,CHL_CIUDADCOYHAIQUE,,,CHL,,CHL_REGIONDEAYSENDELGENERALCARLOSIBANEZDELCAMPO,,,,,Coyhaique
true,CHL_CIUDADAYSEN,,,CHL,,CHL_REGIONDEAYSENDELGENERALCARLOSIBANEZDELCAMPO,,,,,Aysén
true,CHL_CIUDADCAPITANPRAT,,,CHL,,CHL_REGIONDEAYSENDELGENERALCARLOSIBANEZDELCAMPO,,,,,Capitán Prat
true,CHL_CIUDADGENERALCARRERA,,,CHL,,CHL_REGIONDEAYSENDELGENERALCARLOSIBANEZDELCAMPO,,,,,General Carrera
true,CHL_CIUDADMAGALLANES,,,CHL,,CHL_REGIONDEMAGALLANESYANTARTICACHILENA,,,,,Magallanes
true,CHL_CIUDADANTARTICACHILENA,,,CHL,,CHL_REGIONDEMAGALLANESYANTARTICACHILENA,,,,,Antártica Chilena
true,CHL_CIUDADTIERRADELFUEGO,,,CHL,,CHL_REGIONDEMAGALLANESYANTARTICACHILENA,,,,,Tierra del Fuego
true,CHL_CIUDADULTIMAESPERANZA,,,CHL,,CHL_REGIONDEMAGALLANESYANTARTICACHILENA,,,,,Última Esperanza
true,CHL_CIUDADSANTIAGO,,,CHL,,CHL_REGIONMETROPOLITANADESANTIAGO,,,,,Santiago
true,CHL_CIUDADCORDILLERA,,,CHL,,CHL_REGIONMETROPOLITANADESANTIAGO,,,,,Cordillera
true,CHL_CIUDADCHACABUCO,,,CHL,,CHL_REGIONMETROPOLITANADESANTIAGO,,,,,Chacabuco
true,CHL_CIUDADMAIPO,,,CHL,,CHL_REGIONMETROPOLITANADESANTIAGO,,,,,Maipo
true,CHL_CIUDADMELIPILLA,,,CHL,,CHL_REGIONMETROPOLITANADESANTIAGO,,,,,Melipilla
true,CHL_CIUDADTALAGANTE,,,CHL,,CHL_REGIONMETROPOLITANADESANTIAGO,,,,,Talagante