active,code,image,name
false,AAR,language_aar.svg,Afar
false,ABK,language_abk.svg,Abkhaz
false,AVE,language_ave.svg,Avestan
false,AFR,language_afr.svg,Afrikaans
false,AKA,language_aka.svg,Akan
false,AMH,language_amh.svg,Amharic
false,ARG,language_arg.svg,Aragonese
false,ARA,language_ara.svg,Arabic
false,ASM,language_asm.svg,Assamese
false,AVA,language_ava.svg,Avaric
false,AYM,language_aym.svg,Aymara
false,AZE,language_aze.svg,Azerbaijani
false,AZB,language_azb.svg,Azerbaijani (South)
false,BAK,language_bak.svg,Bashkir
false,BEL,language_bel.svg,Belarusian
false,BUL,language_bul.svg,Bulgarian
false,BIH,language_bih.svg,Bihari
false,BIS,language_bis.svg,Bislama
false,BAM,language_bam.svg,Bambara
false,BEN,language_ben.svg,Bengali
false,BOD,language_bod.svg,Tibetan
false,BRE,language_bre.svg,Breton
false,BOS,language_bos.svg,Bosnian
false,CAT,language_cat.svg,Catalan
false,CHE,language_che.svg,Chechen
false,CHA,language_cha.svg,Chamorro
false,COS,language_cos.svg,Corsican
false,CRE,language_cre.svg,Cree
false,CES,language_ces.svg,Czech
false,CHU,language_chu.svg,Old Church Slavonic
false,CHV,language_chv.svg,Chuvash
false,CYM,language_cym.svg,Welsh
false,DAN,language_dan.svg,Danish
false,DEU,language_deu.svg,German
false,DIV,language_div.svg,Divehi
false,DZO,language_dzo.svg,Dzongkha
false,EWE,language_ewe.svg,Ewe
false,ELL,language_ell.svg,Greek (Modern)
true,ENG,language_eng.svg,English
false,EPO,language_epo.svg,Esperanto
true,SPA,language_spa.svg,Spanish
false,EST,language_est.svg,Estonian
false,EUS,language_eus.svg,Basque
false,FAS,language_fas.svg,Persian (Farsi)
false,FUL,language_ful.svg,Fula
false,FIN,language_fin.svg,Finnish
false,FIJ,language_fij.svg,Fijian
false,FAO,language_fao.svg,Faroese
false,FRA,language_fra.svg,French
false,FRY,language_fry.svg,Western Frisian
false,GLE,language_gle.svg,Irish
false,GLA,language_gla.svg,Scottish Gaelic
false,GLG,language_glg.svg,Galician
false,GRN,language_grn.svg,Guaraní
false,GUJ,language_guj.svg,Gujarati
false,GLV,language_glv.svg,Manx
false,HAU,language_hau.svg,Hausa
false,HEB,language_heb.svg,Hebrew (Modern)
false,HIN,language_hin.svg,Hindi
false,HMO,language_hmo.svg,Hiri Motu
false,HRV,language_hrv.svg,Croatian
false,HAT,language_hat.svg,Haitian
false,HUN,language_hun.svg,Hungarian
false,HYE,language_hye.svg,Armenian
false,HER,language_her.svg,Herero
false,INA,language_ina.svg,Interlingua
false,IND,language_ind.svg,Indonesian
false,ILE,language_ile.svg,Interlingue
false,IBO,language_ibo.svg,Igbo
false,III,language_iii.svg,Nuosu
false,IPK,language_ipk.svg,Inupiaq
false,IDO,language_ido.svg,Ido
false,ISL,language_isl.svg,Icelandic
false,ITA,language_ita.svg,Italian
false,IKU,language_iku.svg,Inuktitut
false,JPN,language_jpn.svg,Japanese
false,JAV,language_jav.svg,Javanese
false,KAT,language_kat.svg,Georgian
false,KON,language_kon.svg,Kongo
false,KIK,language_kik.svg,Kikuyu
false,KUA,language_kua.svg,Kwanyama
false,KAZ,language_kaz.svg,Kazakh
false,KAL,language_kal.svg,Kalaallisut
false,KHM,language_khm.svg,Khmer
false,KAN,language_kan.svg,Kannada
false,KOR,language_kor.svg,Korean
false,KAU,language_kau.svg,Kanuri
false,KAS,language_kas.svg,Kashmiri
false,KUR,language_kur.svg,Kurdish
false,KOM,language_kom.svg,Komi
false,COR,language_cor.svg,Cornish
false,KIR,language_kir.svg,Kyrgyz
false,LAT,language_lat.svg,Latin
false,LTZ,language_ltz.svg,Luxembourgish
false,LUG,language_lug.svg,Ganda
false,LIM,language_lim.svg,Limburgish
false,LIN,language_lin.svg,Lingala
false,LAO,language_lao.svg,Lao
false,LIT,language_lit.svg,Lithuanian
false,LUB,language_lub.svg,Luba-Katanga
false,LAV,language_lav.svg,Latvian
false,MLG,language_mlg.svg,Malagasy
false,MAH,language_mah.svg,Marshallese
false,MRI,language_mri.svg,Māori
false,MKD,language_mkd.svg,Macedonian
false,MAL,language_mal.svg,Malayalam
false,MON,language_mon.svg,Mongolian
false,MAR,language_mar.svg,Marathi
false,MSA,language_msa.svg,Malay
false,MLT,language_mlt.svg,Maltese
false,MYA,language_mya.svg,Burmese
false,NAU,language_nau.svg,Nauru
false,NOB,language_nob.svg,Norwegian Bokmål
false,NDE,language_nde.svg,North Ndebele
false,NEP,language_nep.svg,Nepali
false,NDO,language_ndo.svg,Ndonga
false,NLD,language_nld.svg,Dutch
false,NNO,language_nno.svg,Norwegian Nynorsk
false,NOR,language_nor.svg,Norwegian
false,NBL,language_nbl.svg,South Ndebele
false,NAV,language_nav.svg,"Navajo, Navaho"
false,NYA,language_nya.svg,Chichewa; Chewa; Nyanja
false,OCI,language_oci.svg,Occitan
false,OJI,language_oji.svg,"Ojibwe, Ojibwa"
false,ORM,language_orm.svg,Oromo
false,ORI,language_ori.svg,Oriya
false,OSS,language_oss.svg,"Ossetian, Ossetic"
false,PAN,language_pan.svg,"Panjabi, Punjabi"
false,PLI,language_pli.svg,Pāli
false,POL,language_pol.svg,Polish
false,PUS,language_pus.svg,"Pashto, Pushto"
true,POR,language_por.svg,Portuguese
false,QUE,language_que.svg,Quechua
false,ROH,language_roh.svg,Romansh
false,RUN,language_run.svg,Kirundi
false,RON,language_ron.svg,Romanian
false,RUS,language_rus.svg,Russian
false,KIN,language_kin.svg,Kinyarwanda
false,SAN,language_san.svg,Sanskrit (Saṁskṛta)
false,SRD,language_srd.svg,Sardinian
false,SND,language_snd.svg,Sindhi
false,SME,language_sme.svg,Northern Sami
false,SAG,language_sag.svg,Sango
false,SIN,language_sin.svg,"Sinhala, Sinhalese"
false,SLK,language_slk.svg,Slovak
false,SLV,language_slv.svg,Slovene
false,SMO,language_smo.svg,Samoan
false,SNA,language_sna.svg,Shona
false,SOM,language_som.svg,Somali
false,SQI,language_sqi.svg,Albanian
false,SRP,language_srp.svg,Serbian
false,SSW,language_ssw.svg,Swati
false,SOT,language_sot.svg,Southern Sotho
false,SUN,language_sun.svg,Sundanese
false,SWE,language_swe.svg,Swedish
false,SWA,language_swa.svg,Swahili
false,TAM,language_tam.svg,Tamil
false,TEL,language_tel.svg,Telugu
false,TGK,language_tgk.svg,Tajik
false,THA,language_tha.svg,Thai
false,TIR,language_tir.svg,Tigrinya
false,TUK,language_tuk.svg,Turkmen
false,TGL,language_tgl.svg,Tagalog
false,TSN,language_tsn.svg,Tswana
false,TON,language_ton.svg,Tonga
false,TUR,language_tur.svg,Turkish
false,TSO,language_tso.svg,Tsonga
false,TAT,language_tat.svg,Tatar
false,TWI,language_twi.svg,Twi
false,TAH,language_tah.svg,Tahitian
false,UIG,language_uig.svg,Uyghur
false,UKR,language_ukr.svg,Ukrainian
false,URD,language_urd.svg,Urdu
false,UZB,language_uzb.svg,Uzbek
false,VEN,language_ven.svg,Venda
false,VIE,language_vie.svg,Vietnamese
false,VOL,language_vol.svg,Volapük
false,WLN,language_wln.svg,Walloon
false,WOL,language_wol.svg,Wolof
false,XHO,language_xho.svg,Xhosa
false,YID,language_yid.svg,Yiddish
false,YOR,language_yor.svg,Yoruba
false,ZHA,language_zha.svg,Zhuang
false,ZHO,language_zho.svg,Chinese
false,ZUL,language_zul.svg,Zulu
